custFirstName,custLastName,custPhone,custGender,driverFirstName,driverLastName,driverPhone,driverLicense,driverGender,carModel,carPlate,carColor,carType,carAvailable,startPoint,endPoint,distance,orderStatus,totalPrice,orderDate,reviewRating,reviewComment
"Yevhen","Hrytsenko","+380818231732","female","Viktor","Marchenko","+380824748051","DL185553","prefer not to say","Hyundai Sonata","BO 3741 II-218","Silver","Luxury","true","Chernivtsi, Vasylkivska St, 68","Chernivtsi, Bandery St, 139","11.10","FAILED","52.64","2026-02-14","3","Driver was late"
"Mariia","Fedorov","+380858527665","other","Mariia","Hrytsenko","+380676622536","DL965072","male","Honda Accord","BI 6365 AA-219","Grey","Luxury","true","Vinnytsia, Lychakivska St, 99","Vinnytsia, Franka St, 64","13.17","SCHEDULED","32.26","2026-03-08","2","Could be better"
"Alina","Lysenko","+380791281989","male","Volodymyr","Oliinyk","+380793255426","DL690738","male","Mazda 6","BA 5358 CX-220","Green","Luxury","true","Zaporizhzhia, Shevchenka St, 89","Zaporizhzhia, Bandery St, 47","6.39","CANCELLED","90.90","2026-02-17","4","Excellent service"
"Mariia","Shevchenko","+380756203350","male","Yevhen","Kushnir","+380926690858","DL906342","male","Renault Megane","BK 9725 CX-221","Yellow","SUV","true","Chernivtsi, Chornovola Ave, 12","Chernivtsi, Pekarska St, 96","7.88","ACCEPTED","36.30","2026-03-22","1","Excellent service"
"Andrii","Marchenko","+380748195236","male","Andrii","Sokolova","+380714728897","DL169815","male","Nissan Altima","AA 6924 CX-222","Yellow","Sedan","true","Rivne, Khmelnitskoho St, 68","Rivne, Stryiska St, 23","15.08","ACCEPTED","107.58","2026-03-08","1","Excellent service"
"Pavlo","Dovzhenko","+380744150192","male","Kateryna","Dovzhenko","+380704143246","DL854292","prefer not to say","Kia Optima","BM 5458 AA-223","White","SUV","true","Dnipro, Lychakivska St, 93","Dnipro, Lychakivska St, 129","7.60","ACCEPTED","71.87","2026-02-08","3","Great trip!"
"Viktor","Kushnir","+380734780129","prefer not to say","Oksana","Goncharenko","+380647399727","DL132934","prefer not to say","Subaru Legacy","BI 1344 AA-224","Brown","Sedan","true","Kharkiv, Sichovykh Striltsiv St, 113","Kharkiv, Chornovola Ave, 64","9.76","REJECTED","28.49","2026-01-23","2","Could be better"
"Oksana","Hrytsenko","+380822720496","female","Yuliia","Oliinyk","+380747679132","DL267714","prefer not to say","Renault Megane","AP 2595 HT-225","Grey","Luxury","false","Vinnytsia, Sichovykh Striltsiv St, 15","Vinnytsia, Shevchenka St, 65","2.64","PENDING","50.92","2026-03-12","3","Bad smell in cabin"
"Dmytro","Polishchuk","+380657713239","other","Iryna","Goncharenko","+380749765370","DL321906","other","Hyundai Sonata","BE 5664 BB-226","Grey","Sedan","true","Uzhhorod, Khmelnitskoho St, 15","Uzhhorod, Franka St, 93","6.65","IN_PROGRESS","58.64","2026-02-12","3","Great trip!"
"Mykola","Melnyk","+380872873251","other","Svitlana","Goncharenko","+380869348739","DL789688","other","Mercedes-Benz C-Class","AB 4692 HT-227","Black","SUV","false","Dnipro, Chornovola Ave, 2","Dnipro, Shevchenka St, 54","10.11","COMPLETED","100.65","2026-02-06","5","Highly recommend"
"Ivan","Goncharenko","+380979608345","other","Yevhen","Kovalenko","+380789127052","DL522813","prefer not to say","Subaru Legacy","BM 7184 II-228","Yellow","Sedan","true","Odesa, Pekarska St, 83","Odesa, Chornovola Ave, 97","5.62","CANCELLED","12.23","2026-02-18","1","Not recommended"
"Iryna","Sokolova","+380936405018","prefer not to say","Anna","Tkachenko","+380881779113","DL936064","other","Volkswagen Passat","AP 6732 HT-229","Red","Luxury","true","Zaporizhzhia, Chornovola Ave, 60","Zaporizhzhia, Lychakivska St, 137","10.75","COMPLETED","61.77","2026-01-02","4","Great trip!"
"Kateryna","Tkachenko","+380672974765","female","Nataliia","Sokolova","+380874691633","DL706214","other","Mazda 6","BM 2315 CX-230","Green","SUV","true","Dnipro, Khmelnitskoho St, 78","Dnipro, Horodotska St, 110","7.07","ACCEPTED","46.36","2026-02-06","2","Smooth ride"
"Ivan","Polishchuk","+380642857735","male","Ivan","Bondarenko","+380866872216","DL267682","prefer not to say","Nissan Altima","AB 6837 AA-231","Red","Sedan","false","Ternopil, Sichovykh Striltsiv St, 137","Ternopil, Kulparkivska St, 39","6.87","PENDING","102.72","2026-03-02","1","Highly recommend"
"Anna","Sokolova","+380816610446","other","Dmytro","Kravchenko","+380791596666","DL522763","other","Nissan Altima","BB 3012 BB-232","Brown","Sedan","false","Kharkiv, Stryiska St, 51","Kharkiv, Bandery St, 12","11.44","COMPLETED","101.68","2026-01-25","3","Smooth ride"
"Olena","Boyko","+380973518472","prefer not to say","Serhii","Oliinyk","+380789228244","DL606146","other","Renault Megane","BH 5563 CX-233","Dark Blue","Luxury","false","Vinnytsia, Chornovola Ave, 91","Vinnytsia, Lychakivska St, 10","7.99","SCHEDULED","78.82","2026-03-10","5","Highly recommend"
"Alina","Boyko","+380871141414","prefer not to say","Iryna","Marchenko","+380807746004","DL794650","male","Skoda Octavia","BH 1140 AA-234","Dark Blue","SUV","true","Dnipro, Naukova St, 79","Dnipro, Khmelnitskoho St, 78","15.25","REJECTED","88.57","2026-01-06","1","Great trip!"
"Alina","Hrytsenko","+380837353546","male","Oksana","Goncharenko","+380759225935","DL180181","male","Kia Optima","BI 1169 CX-235","Yellow","Sedan","true","Lviv, Lychakivska St, 113","Lviv, Shevchenka St, 146","7.32","COMPLETED","76.21","2026-03-15","4","Driver was rude"
"Oleksandr","Melnyk","+380719916989","other","Svitlana","Sokolova","+380952096459","DL107377","male","Audi A4","AT 3302 AA-236","Dark Blue","Luxury","true","Kherson, Stryiska St, 64","Kherson, Bandery St, 27","9.09","REJECTED","49.48","2026-01-12","5","Not recommended"
"Mariia","Goncharenko","+380891188765","male","Oleksandr","Khmelyov","+380661197870","DL599995","male","Skoda Octavia","AA 2234 II-237","Dark Blue","SUV","false","Ivano-Frankivsk, Vasylkivska St, 72","Ivano-Frankivsk, Naukova St, 107","6.39","ACCEPTED","63.10","2026-02-27","3","Amazing experience"
"Alina","Oliinyk","+380858685611","prefer not to say","Svitlana","Zaitsev","+380978554654","DL343914","female","BMW 5 Series","BH 9228 CX-238","Grey","SUV","true","Chernivtsi, Kulparkivska St, 55","Chernivtsi, Naukova St, 121","9.17","PENDING","16.93","2026-01-07","4","Excellent service"
"Oksana","Zaitsev","+380928497396","other","Ivan","Tkachenko","+380963748185","DL992575","other","Mercedes-Benz C-Class","AT 2371 CX-239","Grey","Luxury","true","Zaporizhzhia, Naukova St, 50","Zaporizhzhia, Naukova St, 62","4.63","CANCELLED","61.28","2026-03-05","1","Great trip!"
"Yuliia","Lysenko","+380781113225","other","Andrii","Dovzhenko","+380951893114","DL344699","female","BMW 5 Series","AT 8930 II-240","Dark Blue","Hatchback","true","Ivano-Frankivsk, Sichovykh Striltsiv St, 81","Ivano-Frankivsk, Horodotska St, 28","11.34","CANCELLED","96.07","2026-01-25","5","Polite driver"
"Kateryna","Dovzhenko","+380755996635","prefer not to say","Yuliia","Kravchenko","+380707814150","DL465391","male","Toyota Camry","BM 4438 BB-241","Orange","Luxury","true","Mykolaiv, Stryiska St, 97","Mykolaiv, Lychakivska St, 19","1.24","REJECTED","16.00","2026-03-17","5","Could be better"
"Mariia","Kovalenko","+380925754552","male","Yevhen","Hrytsenko","+380754222574","DL939151","other","Honda Accord","AO 9671 AA-242","Red","Sedan","true","Vinnytsia, Sichovykh Striltsiv St, 13","Vinnytsia, Zelena St, 126","4.68","ACCEPTED","108.58","2026-03-01","4","Bad smell in cabin"
"Olena","Kovalenko","+380709946137","prefer not to say","Yuliia","Goncharenko","+380864719141","DL721384","male","Volkswagen Passat","BI 1230 BB-243","Red","Luxury","true","Chernivtsi, Franka St, 87","Chernivtsi, Naukova St, 130","1.03","ACCEPTED","33.04","2026-03-18","4","Could be better"
"Svitlana","Polishchuk","+380912513368","male","Yuliia","Fedorov","+380996814647","DL947441","prefer not to say","Mercedes-Benz C-Class","BE 4546 HT-244","Brown","Sedan","true","Chernivtsi, Franka St, 138","Chernivtsi, Kulparkivska St, 78","7.49","CANCELLED","56.84","2026-01-24","5","Bad smell in cabin"
"Andrii","Khmelyov","+380688232354","prefer not to say","Nataliia","Kravchenko","+380849822741","DL202207","female","Subaru Legacy","BI 9022 HT-245","Green","SUV","true","Ivano-Frankivsk, Sichovykh Striltsiv St, 63","Ivano-Frankivsk, Chornovola Ave, 15","6.93","PENDING","44.38","2026-02-09","4","Could be better"
"Volodymyr","Khmelyov","+380956621021","male","Alina","Khmelyov","+380661870407","DL519748","male","Tesla Model 3","BH 2388 BB-246","Brown","Sedan","true","Lutsk, Naukova St, 13","Lutsk, Naukova St, 21","9.74","FAILED","38.57","2026-03-20","4","Car was uncomfortable"
"Mariia","Melnyk","+380996709002","female","Dmytro","Bondarenko","+380636090174","DL155158","prefer not to say","Honda Accord","AP 3561 CX-247","Silver","SUV","true","Kherson, Kulparkivska St, 131","Kherson, Horodotska St, 29","13.54","PENDING","29.49","2026-03-20","5","Could be better"
"Volodymyr","Shevchenko","+380917825773","male","Viktor","Kushnir","+380925696114","DL582034","male","Kia Optima","BT 1414 HT-248","Silver","Sedan","true","Lutsk, Valova St, 125","Lutsk, Franka St, 70","9.80","IN_PROGRESS","103.31","2026-01-24","2","Highly recommend"
"Yevhen","Boyko","+380806622433","other","Volodymyr","Khmelyov","+380722327610","DL572897","female","Mercedes-Benz C-Class","BB 5454 II-249","White","SUV","true","Ivano-Frankivsk, Franka St, 105","Ivano-Frankivsk, Franka St, 58","12.60","CANCELLED","52.20","2026-03-13","2","Smooth ride"
"Viktor","Zaitsev","+380684826732","male","Mykola","Polishchuk","+380821095924","DL610402","other","Nissan Altima","BE 2088 AA-250","Silver","Sedan","true","Ternopil, Bandery St, 137","Ternopil, Valova St, 26","14.05","COMPLETED","84.16","2026-03-25","2","Not recommended"
"Olena","Polishchuk","+380936508016","female","Viktor","Sokolova","+380686572725","DL513141","male","Renault Megane","AP 4218 BB-251","Yellow","SUV","true","Vinnytsia, Sichovykh Striltsiv St, 75","Vinnytsia, Bandery St, 36","14.90","ACCEPTED","41.31","2026-03-14","2","Great trip!"
"Alina","Sokolova","+380676171184","other","Anna","Bondarenko","+380804377858","DL299629","female","Audi A4","AM 5270 AA-252","Grey","Sedan","true","Rivne, Vasylkivska St, 116","Rivne, Vasylkivska St, 141","11.50","PENDING","102.42","2026-01-25","2","Smooth ride"
"Mariia","Lysenko","+380864979453","other","Mariia","Fedorov","+380963166977","DL401846","prefer not to say","Kia Optima","AX 6814 HT-253","Orange","SUV","false","Rivne, Vasylkivska St, 83","Rivne, Horodotska St, 12","7.09","SCHEDULED","95.15","2026-03-25","2","Smooth ride"
"Yevhen","Tkachenko","+380789624067","prefer not to say","Anna","Khmelyov","+380839445317","DL745501","female","Hyundai Sonata","BH 1853 BB-254","Green","Sedan","true","Uzhhorod, Sichovykh Striltsiv St, 128","Uzhhorod, Khmelnitskoho St, 4","9.29","FAILED","101.01","2026-02-24","4","Driver was rude"
"Yevhen","Marchenko","+380688956816","other","Serhii","Zaitsev","+380677875594","DL372114","other","Kia Optima","BK 3205 II-255","White","Luxury","true","Lutsk, Chornovola Ave, 127","Lutsk, Khmelnitskoho St, 18","6.88","IN_PROGRESS","94.10","2026-03-01","4","Polite driver"
"Oleksandr","Bondarenko","+380696613667","other","Anna","Shevchenko","+380881156114","DL720647","male","Nissan Altima","AO 1920 BB-256","Red","Luxury","true","Dnipro, Vasylkivska St, 2","Dnipro, Vasylkivska St, 6","12.49","CANCELLED","77.12","2026-01-24","4","Not recommended"
"Mykola","Boyko","+380766634047","other","Andrii","Kushnir","+380943046816","DL204806","female","Skoda Octavia","BB 9650 CX-257","Silver","SUV","true","Chernivtsi, Horodotska St, 148","Chernivtsi, Bandery St, 103","13.57","IN_PROGRESS","102.08","2026-03-22","3","Bad smell in cabin"
"Olena","Bondarenko","+380998870335","prefer not to say","Serhii","Goncharenko","+380941316907","DL553191","other","Tesla Model 3","BA 7679 BB-258","Dark Blue","SUV","true","Mykolaiv, Vasylkivska St, 123","Mykolaiv, Naukova St, 102","4.54","CANCELLED","47.26","2026-03-01","3","Terrible service"
"Alina","Oliinyk","+380889420147","male","Viktor","Hrytsenko","+380631532427","DL310375","female","BMW 5 Series","AA 8621 AA-259","Green","Luxury","true","Kherson, Kulparkivska St, 114","Kherson, Horodotska St, 121","9.38","CANCELLED","68.96","2026-03-07","4","Polite driver"
"Kateryna","Kushnir","+380723661458","prefer not to say","Svitlana","Zaitsev","+380957484135","DL568229","other","Kia Optima","BH 4413 BB-260","Yellow","Sedan","true","Zaporizhzhia, Bandery St, 87","Zaporizhzhia, Bandery St, 140","4.97","ACCEPTED","59.45","2025-12-31","2","Driver was late"
"Anna","Bondarenko","+380849152782","male","Mykola","Melnyk","+380778101922","DL434163","prefer not to say","Renault Megane","AB 8806 BB-261","Orange","SUV","true","Rivne, Horodotska St, 49","Rivne, Stryiska St, 128","9.88","FAILED","21.76","2026-02-01","2","Very clean car"
"Volodymyr","Dovzhenko","+380774431334","male","Alina","Oliinyk","+380906415585","DL513413","male","Ford Fusion","BO 3976 CX-262","Yellow","SUV","true","Kyiv, Bandery St, 83","Kyiv, Khmelnitskoho St, 134","7.15","FAILED","85.01","2026-02-02","4","Terrible service"
"Yuliia","Khmelyov","+380657194271","male","Dmytro","Shevchenko","+380711948541","DL500469","male","Mazda 6","BT 9615 HT-263","Dark Blue","Sedan","true","Kyiv, Khmelnitskoho St, 75","Kyiv, Chornovola Ave, 106","14.25","FAILED","11.82","2026-01-08","5","Not recommended"
"Yuliia","Lysenko","+380658710564","female","Oksana","Lysenko","+380722755168","DL756910","male","Kia Optima","BT 1070 AA-264","Red","Hatchback","false","Odesa, Horodotska St, 89","Odesa, Sichovykh Striltsiv St, 8","8.72","IN_PROGRESS","98.67","2026-02-28","3","Excellent service"
"Mariia","Boyko","+380883492600","female","Iryna","Sokolova","+380755966527","DL183603","female","Volkswagen Passat","BE 7876 AA-265","Orange","Luxury","true","Kyiv, Pekarska St, 78","Kyiv, Stryiska St, 115","2.16","SCHEDULED","66.88","2026-03-17","1","Not recommended"
"Kateryna","Sokolova","+380953849732","male","Svitlana","Marchenko","+380859305985","DL424677","prefer not to say","Nissan Altima","BT 6528 HT-266","Silver","SUV","true","Kyiv, Valova St, 93","Kyiv, Stryiska St, 133","11.86","IN_PROGRESS","10.51","2026-02-21","1","Highly recommend"
"Volodymyr","Kovalenko","+380993352896","male","Alina","Tkachenko","+380735880699","DL255714","female","Audi A4","BI 9200 AA-267","Red","SUV","true","Chernivtsi, Khmelnitskoho St, 60","Chernivtsi, Valova St, 39","7.12","REJECTED","69.90","2026-02-23","1","Car was uncomfortable"
"Kateryna","Hrytsenko","+380974925979","other","Nataliia","Oliinyk","+380658617206","DL565723","other","Nissan Altima","AO 4668 BB-268","Brown","Hatchback","true","Kyiv, Horodotska St, 139","Kyiv, Khmelnitskoho St, 118","4.51","REJECTED","40.25","2026-03-01","1","Not recommended"
"Iryna","Melnyk","+380896744719","female","Pavlo","Marchenko","+380822008059","DL610958","other","Mazda 6","BK 4066 II-269","Yellow","SUV","true","Rivne, Vasylkivska St, 52","Rivne, Pekarska St, 97","9.78","REJECTED","61.42","2026-03-20","1","Car was uncomfortable"
"Andrii","Kushnir","+380652503622","female","Nataliia","Goncharenko","+380998588051","DL458141","other","Subaru Legacy","AE 9618 HT-270","Green","Sedan","true","Rivne, Pekarska St, 95","Rivne, Chornovola Ave, 9","14.23","IN_PROGRESS","63.21","2026-03-11","3","Not recommended"
"Nataliia","Marchenko","+380839737807","prefer not to say","Oksana","Khmelyov","+380868504942","DL342824","other","BMW 5 Series","AX 9241 HT-271","Silver","Luxury","true","Lutsk, Valova St, 58","Lutsk, Vasylkivska St, 124","8.55","COMPLETED","43.10","2026-02-01","2","Terrible service"
"Anna","Bondarenko","+380816967724","other","Olena","Polishchuk","+380688925297","DL766323","female","Ford Fusion","BC 2125 CX-272","Black","Sedan","true","Kharkiv, Franka St, 26","Kharkiv, Valova St, 72","11.05","IN_PROGRESS","16.99","2026-02-01","1","Not recommended"
"Pavlo","Hrytsenko","+380696976030","female","Oksana","Goncharenko","+380754782442","DL201576","male","Ford Fusion","BA 7087 II-273","Green","Hatchback","true","Mykolaiv, Khmelnitskoho St, 102","Mykolaiv, Sichovykh Striltsiv St, 121","9.35","SCHEDULED","62.65","2026-03-26","5","Amazing experience"
"Svitlana","Dovzhenko","+380885720590","female","Yevhen","Hrytsenko","+380889837732","DL792037","male","Nissan Altima","BT 4010 II-274","Grey","SUV","true","Kherson, Kulparkivska St, 118","Kherson, Chornovola Ave, 30","3.89","CANCELLED","75.47","2026-03-02","3","Polite driver"
"Andrii","Shevchenko","+380824009145","prefer not to say","Pavlo","Kravchenko","+380952740790","DL482643","female","Ford Fusion","AA 2932 HT-275","Brown","Hatchback","true","Dnipro, Zelena St, 3","Dnipro, Shevchenka St, 58","11.59","SCHEDULED","12.60","2026-01-10","4","Driver was rude"
"Iryna","Oliinyk","+380855510062","other","Dmytro","Kovalenko","+380721061813","DL243955","prefer not to say","Ford Fusion","BE 8402 AA-276","Dark Blue","Hatchback","false","Lviv, Horodotska St, 120","Lviv, Valova St, 117","15.77","CANCELLED","97.05","2026-02-24","2","Amazing experience"
"Pavlo","Melnyk","+380874461612","prefer not to say","Serhii","Fedorov","+380857771031","DL196585","other","Honda Accord","AB 5418 CX-277","Brown","SUV","true","Lviv, Vasylkivska St, 150","Lviv, Valova St, 76","13.48","REJECTED","105.12","2026-03-17","4","Great trip!"
"Ivan","Kovalenko","+380659917733","other","Kateryna","Sokolova","+380639971039","DL831011","female","Volkswagen Passat","BB 1273 AA-278","Yellow","Luxury","true","Kharkiv, Naukova St, 20","Kharkiv, Pekarska St, 74","9.35","FAILED","22.77","2026-03-17","4","Not recommended"
"Mykola","Hrytsenko","+380923880478","other","Iryna","Kovalenko","+380874934963","DL684164","other","Volkswagen Passat","BI 9133 HT-279","Grey","Hatchback","true","Dnipro, Stryiska St, 114","Dnipro, Shevchenka St, 51","10.48","FAILED","104.37","2026-03-04","1","Not recommended"
"Yuliia","Boyko","+380659880395","other","Yevhen","Polishchuk","+380821816187","DL493777","other","Nissan Altima","AM 6727 BB-280","Dark Blue","Sedan","true","Uzhhorod, Franka St, 93","Uzhhorod, Franka St, 83","1.02","PENDING","43.84","2026-01-21","5","Amazing experience"
"Volodymyr","Zaitsev","+380875497295","other","Oleksandr","Boyko","+380802407419","DL489609","prefer not to say","Hyundai Sonata","BT 3659 BB-281","Green","Luxury","true","Dnipro, Shevchenka St, 90","Dnipro, Pekarska St, 147","6.19","REJECTED","34.94","2026-02-15","3","Terrible service"
"Anna","Melnyk","+380735103998","other","Ivan","Melnyk","+380992906207","DL631605","female","Ford Fusion","AT 4518 BB-282","Red","Luxury","true","Dnipro, Franka St, 18","Dnipro, Lychakivska St, 5","10.20","IN_PROGRESS","89.31","2026-01-04","4","Not recommended"
"Pavlo","Sokolova","+380877936605","prefer not to say","Iryna","Goncharenko","+380837925309","DL854167","female","Skoda Octavia","AX 3757 II-283","Brown","Sedan","true","Uzhhorod, Shevchenka St, 130","Uzhhorod, Shevchenka St, 117","1.19","IN_PROGRESS","80.15","2026-02-13","3","Smooth ride"
"Pavlo","Tkachenko","+380939547867","other","Yevhen","Marchenko","+380717254290","DL542138","other","Mazda 6","BE 9151 CX-284","Grey","Luxury","true","Zaporizhzhia, Horodotska St, 34","Zaporizhzhia, Bandery St, 10","10.66","FAILED","90.04","2026-01-19","1","Car was uncomfortable"
"Yevhen","Bondarenko","+380647216355","other","Pavlo","Oliinyk","+380889629055","DL789368","prefer not to say","Skoda Octavia","AM 3418 II-285","Red","SUV","false","Kharkiv, Franka St, 31","Kharkiv, Zelena St, 129","11.94","CANCELLED","106.55","2026-01-21","2","Great trip!"
"Dmytro","Lysenko","+380973687894","other","Andrii","Dovzhenko","+380667809055","DL841400","male","Audi A4","BE 9004 HT-286","Grey","Sedan","true","Lviv, Kulparkivska St, 22","Lviv, Khmelnitskoho St, 47","14.90","REJECTED","53.41","2026-02-25","4","Driver was rude"
"Yevhen","Kushnir","+380892307576","other","Yevhen","Sokolova","+380964264624","DL736188","male","Mazda 6","AM 2914 II-287","Dark Blue","Hatchback","true","Kherson, Kulparkivska St, 91","Kherson, Khmelnitskoho St, 19","6.17","PENDING","65.30","2026-02-04","5","Polite driver"
"Iryna","Kushnir","+380719175560","male","Svitlana","Dovzhenko","+380876536815","DL965265","prefer not to say","Hyundai Sonata","BM 8958 BB-288","Silver","Luxury","true","Zaporizhzhia, Horodotska St, 94","Zaporizhzhia, Shevchenka St, 70","13.98","SCHEDULED","26.42","2026-01-03","5","Polite driver"
"Ivan","Shevchenko","+380991777850","male","Yevhen","Dovzhenko","+380664360945","DL678500","male","Volkswagen Passat","AA 3569 CX-289","White","Hatchback","true","Ivano-Frankivsk, Zelena St, 6","Ivano-Frankivsk, Shevchenka St, 29","3.92","ACCEPTED","72.02","2026-03-12","2","Amazing experience"
"Viktor","Melnyk","+380862601913","prefer not to say","Ivan","Zaitsev","+380735954269","DL989633","other","Volkswagen Passat","BI 2977 II-290","Brown","Hatchback","false","Uzhhorod, Pekarska St, 20","Uzhhorod, Bandery St, 41","7.86","REJECTED","22.71","2026-02-21","5","Smooth ride"
"Svitlana","Zaitsev","+380769856945","prefer not to say","Iryna","Kovalenko","+380981072259","DL334620","male","Volkswagen Passat","AE 7153 BB-291","Grey","Hatchback","true","Lutsk, Vasylkivska St, 75","Lutsk, Shevchenka St, 128","2.09","IN_PROGRESS","95.64","2026-01-12","1","Amazing experience"
"Anna","Marchenko","+380918378471","other","Svitlana","Kushnir","+380884684578","DL224908","other","Tesla Model 3","AO 5840 II-292","White","Luxury","true","Rivne, Bandery St, 95","Rivne, Zelena St, 96","12.80","CANCELLED","63.28","2026-01-17","1","Highly recommend"
"Serhii","Oliinyk","+380673243007","other","Volodymyr","Oliinyk","+380959165755","DL157851","other","Skoda Octavia","BK 9062 BB-293","Brown","Luxury","false","Uzhhorod, Kulparkivska St, 141","Uzhhorod, Stryiska St, 150","12.74","PENDING","73.81","2026-01-03","3","Car was uncomfortable"
"Oleksandr","Fedorov","+380695212676","other","Iryna","Polishchuk","+380882923210","DL276868","female","Honda Accord","BH 1043 HT-294","Red","Hatchback","true","Kherson, Vasylkivska St, 87","Kherson, Lychakivska St, 5","6.85","REJECTED","11.05","2026-02-23","5","Could be better"
"Kateryna","Lysenko","+380753161021","other","Olena","Kovalenko","+380982720399","DL846524","prefer not to say","Mercedes-Benz C-Class","AA 2427 CX-295","Orange","Hatchback","true","Ternopil, Horodotska St, 44","Ternopil, Naukova St, 24","11.17","REJECTED","73.57","2026-02-21","2","Driver was late"
"Oleksandr","Kravchenko","+380677508193","female","Serhii","Marchenko","+380658333086","DL778260","other","Tesla Model 3","AE 7614 II-296","Red","SUV","true","Ternopil, Shevchenka St, 100","Ternopil, Lychakivska St, 15","8.34","COMPLETED","67.98","2026-03-19","3","Car was uncomfortable"
"Kateryna","Boyko","+380905365956","female","Ivan","Kushnir","+380956452496","DL169410","prefer not to say","BMW 5 Series","BA 4056 CX-297","Red","Hatchback","true","Chernivtsi, Franka St, 42","Chernivtsi, Lychakivska St, 103","5.39","REJECTED","80.89","2026-03-21","1","Bad smell in cabin"
"Svitlana","Lysenko","+380921436056","other","Svitlana","Hrytsenko","+380748488138","DL988338","other","Audi A4","AA 8772 II-298","Yellow","Hatchback","true","Kharkiv, Shevchenka St, 66","Kharkiv, Khmelnitskoho St, 119","13.33","SCHEDULED","78.70","2026-02-01","1","Amazing experience"
"Kateryna","Goncharenko","+380857840404","female","Oleksandr","Zaitsev","+380639099482","DL975676","male","Nissan Altima","BI 1483 II-299","Dark Blue","Sedan","false","Mykolaiv, Bandery St, 35","Mykolaiv, Vasylkivska St, 112","6.99","ACCEPTED","86.16","2026-02-17","5","Polite driver"
"Mykola","Sokolova","+380953114237","female","Serhii","Shevchenko","+380731104279","DL635309","female","Tesla Model 3","BM 5751 CX-300","Dark Blue","Sedan","true","Mykolaiv, Franka St, 30","Mykolaiv, Bandery St, 91","4.73","SCHEDULED","28.29","2026-03-24","4","Excellent service"
"Serhii","Dovzhenko","+380844352290","prefer not to say","Nataliia","Kushnir","+380891746502","DL959443","female","Kia Optima","BK 4736 HT-301","Brown","SUV","true","Rivne, Sichovykh Striltsiv St, 144","Rivne, Vasylkivska St, 69","8.83","IN_PROGRESS","56.05","2026-02-02","5","Driver was rude"
"Viktor","Dovzhenko","+380781405993","male","Dmytro","Fedorov","+380872707224","DL892541","other","Kia Optima","AB 1695 BB-302","Silver","Hatchback","true","Ternopil, Franka St, 62","Ternopil, Sichovykh Striltsiv St, 94","4.87","PENDING","19.69","2026-02-04","5","Driver was rude"
"Volodymyr","Khmelyov","+380902213358","male","Iryna","Kovalenko","+380639131708","DL609953","prefer not to say","Nissan Altima","BM 6592 BB-303","Yellow","SUV","true","Dnipro, Lychakivska St, 57","Dnipro, Pekarska St, 58","15.58","ACCEPTED","27.20","2026-03-21","4","Polite driver"
"Mykola","Tkachenko","+380706988012","male","Ivan","Lysenko","+380986724989","DL817113","other","Ford Fusion","AE 7990 AA-304","Yellow","Sedan","false","Lviv, Chornovola Ave, 106","Lviv, Vasylkivska St, 78","5.35","CANCELLED","40.56","2026-03-22","1","Terrible service"
"Oleksandr","Zaitsev","+380847829448","male","Andrii","Dovzhenko","+380917121305","DL656561","other","Nissan Altima","AE 4501 AA-305","Orange","Luxury","true","Uzhhorod, Sichovykh Striltsiv St, 108","Uzhhorod, Kulparkivska St, 63","7.11","CANCELLED","70.67","2026-03-05","5","Not recommended"
"Nataliia","Shevchenko","+380711483405","other","Olena","Khmelyov","+380888981524","DL960363","female","Renault Megane","BA 3311 BB-306","Silver","SUV","true","Kherson, Valova St, 109","Kherson, Chornovola Ave, 140","2.32","REJECTED","24.57","2026-03-19","1","Could be better"
"Nataliia","Kravchenko","+380758659542","female","Kateryna","Khmelyov","+380668262723","DL304283","other","Volkswagen Passat","BB 9646 HT-307","Red","Hatchback","true","Lutsk, Naukova St, 107","Lutsk, Bandery St, 134","6.80","REJECTED","93.32","2026-01-09","1","Bad smell in cabin"
"Pavlo","Boyko","+380642935014","prefer not to say","Iryna","Lysenko","+380982087452","DL194344","other","BMW 5 Series","BC 2659 BB-308","White","Sedan","true","Mykolaiv, Khmelnitskoho St, 20","Mykolaiv, Vasylkivska St, 61","13.75","CANCELLED","92.04","2026-02-08","1","Could be better"
"Yuliia","Marchenko","+380925522041","other","Kateryna","Tkachenko","+380821330777","DL477454","male","Skoda Octavia","AE 8651 II-309","Dark Blue","Hatchback","false","Mykolaiv, Bandery St, 25","Mykolaiv, Naukova St, 65","3.67","PENDING","91.92","2026-01-25","4","Will ride again"
"Volodymyr","Boyko","+380918074819","male","Dmytro","Tkachenko","+380731374692","DL191906","male","Hyundai Sonata","AA 6851 BB-310","Brown","Luxury","true","Lutsk, Vasylkivska St, 64","Lutsk, Shevchenka St, 149","7.43","REJECTED","80.01","2026-02-19","1","Bad smell in cabin"
"Iryna","Zaitsev","+380718068867","other","Svitlana","Lysenko","+380949194824","DL454915","male","Renault Megane","BA 7632 II-311","Silver","Luxury","true","Odesa, Chornovola Ave, 98","Odesa, Naukova St, 145","1.68","IN_PROGRESS","33.31","2026-02-12","3","Great trip!"
